Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
21,1491.57,1.669,1.654,12.0548,35.311356,30.4202,12.0546,4.29979,131.346,1023.0324
21.25,1491.17,1.703,1.687,11.9092,35.269946,30.4994,11.909,4.2919,131.094,1023.1204
21.5,1490.8,1.723,1.707,11.7461,35.307877,30.6699,11.7459,4.28336,130.812,1023.2822
21.75,1490.69,1.72,1.704,11.6607,35.393263,30.8231,11.6604,4.2816,130.741,1023.4164
22,1490.61,1.699,1.683,11.622,35.409439,30.8708,11.6218,4.27596,130.564,1023.4603
22.25,1490.57,1.673,1.658,11.5995,35.421788,30.9016,11.5993,4.28806,130.929,1023.4881
22.5,1490.68,1.661,1.646,11.6523,35.40067,30.8372,11.6521,4.28811,130.939,1023.4286
22.75,1490.8,1.665,1.65,11.723,35.355986,30.7354,11.7228,4.29936,131.294,1023.337
23,1490.9,1.675,1.66,11.7769,35.326496,30.6624,11.7767,4.31416,131.754,1023.2707
23.25,1490.91,1.682,1.667,11.784,35.31743,30.6479,11.7838,4.33285,132.327,1023.2581
23.5,1490.83,1.683,1.667,11.7468,35.332482,30.6931,11.7466,4.3391,132.512,1023.2999
23.75,1490.82,1.679,1.664,11.7301,35.35469,30.7283,11.7299,4.34674,132.742,1023.3302
24,1490.84,1.679,1.664,11.7354,35.363573,30.7325,11.7352,4.34511,132.692,1023.3325
24.25,1490.84,1.685,1.67,11.7426,35.348581,30.7121,11.7424,4.35757,133.074,1023.3154
24.5,1490.81,1.695,1.679,11.7395,35.326624,30.6934,11.7393,4.3484,132.796,1023.3015
24.75,1490.77,1.703,1.688,11.7244,35.325885,30.7052,11.7242,4.3425,132.614,1023.3134
25,1490.76,1.699,1.684,11.7044,35.360122,30.7548,11.7042,4.33228,132.297,1023.3555
25.25,1490.78,1.689,1.674,11.6964,35.39258,30.7928,11.6962,4.30838,131.563,1023.3863
25.5,1490.81,1.671,1.656,11.7041,35.403319,30.7968,11.7039,4.29683,131.21,1023.388
25.75,1490.85,1.657,1.642,11.7184,35.408255,30.7897,11.7182,4.26544,130.253,1023.3799
26,1490.93,1.652,1.637,11.7572,35.399362,30.749,11.757,4.23461,129.316,1023.3413
26.25,1491.02,1.66,1.644,11.8042,35.372759,30.6845,11.804,4.205,128.419,1023.2828
